Symbol
MO
ADM
BF-B
BG
CPB
CHD
CLX
KO
CL
CAG
STZ
COST
DG
DLTR
EL
GIS
HSY
HRL
KVUE
KDP
KMB
KHC
KR
LW
MKC
TAP
MDLZ
MNST
PEP
PM
PG
SJM
SYY
TGT
TSN
WMT
